GFLOPs (@1GHz),Utilization,Cycles,Energy,EDP(J*cycle),Area,Layer Number,Name,Group,Residual Block Number,Mamba Block,Layer Type,C,G,M,N,P,Q,R,S
28.00,9.52%,6656,4.94,3.29e-02,0.00,151,layers_30_mixer_conv1d,layers,30.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,152,layers_30_mixer_x_proj,layers,30.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,153,layers_30_mixer_dt_proj,layers,30.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,154,layers_30_mixer_out_proj,layers,30.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,155,layers_31_mixer_in_proj,layers,31.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,156,layers_31_mixer_conv1d,layers,31.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,157,layers_31_mixer_x_proj,layers,31.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,158,layers_31_mixer_dt_proj,layers,31.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,159,layers_31_mixer_out_proj,layers,31.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,160,layers_32_mixer_in_proj,layers,32.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,161,layers_32_mixer_conv1d,layers,32.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,162,layers_32_mixer_x_proj,layers,32.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,163,layers_32_mixer_dt_proj,layers,32.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,164,layers_32_mixer_out_proj,layers,32.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,165,layers_33_mixer_in_proj,layers,33.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,166,layers_33_mixer_conv1d,layers,33.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,167,layers_33_mixer_x_proj,layers,33.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,168,layers_33_mixer_dt_proj,layers,33.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,169,layers_33_mixer_out_proj,layers,33.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
15.99,4.76%,524288,280.24,1.47e+02,0.00,170,layers_34_mixer_in_proj,layers,34.0,mixer,in_proj,1024,1,4096,1,1,1,1,1
28.00,9.52%,6656,4.94,3.29e-02,0.00,171,layers_34_mixer_conv1d,layers,34.0,mixer,conv1d,1,2048,1,1,1,13,1,4
23.99,7.14%,16384,13.27,2.17e-01,0.00,172,layers_34_mixer_x_proj,layers,34.0,mixer,x_proj,2048,1,96,1,1,1,1,1
15.88,4.76%,16384,8.88,1.45e-01,0.00,173,layers_34_mixer_dt_proj,layers,34.0,mixer,dt_proj,64,1,2048,1,1,1,1,1
16.00,4.76%,262144,140.16,3.67e+01,0.00,174,layers_34_mixer_out_proj,layers,34.0,mixer,out_proj,2048,1,1024,1,1,1,1,1
